year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,12,OO,SkyWest Airlines Inc.,MSO,"Missoula, MT: Missoula International",170,31,8.25,0.0,13.28,0.0,9.47,2,0,1818,424,0,516,0,878
2012,11,OO,SkyWest Airlines Inc.,RDM,"Bend/Redmond, OR: Roberts Field",256,50,14.13,1.45,11.28,0.0,23.14,7,1,2280,579,88,384,0,1229
2004,3,RU,ExpressJet Airlines Inc.,HPN,"White Plains, NY: Westchester County",121,11,4.17,0.22,4.23,0.0,2.38,4,0,563,151,45,156,0,211
2007,5,B6,JetBlue Airways,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",310,70,15.3,0.0,21.72,0.43,32.55,0,0,3568,688,0,799,15,2066
2021,7,ZW,Air Wisconsin Airlines Corp,CHO,"Charlottesville, VA: Charlottesville Albemarle",123,24,7.41,0.81,1.14,0.0,14.65,4,0,1745,335,34,54,0,1322
2022,3,G4,Allegiant Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",312,157,30.48,2.16,67.22,0.0,57.13,24,1,11056,3083,246,3610,0,4117
2010,7,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",705,124,38.0,5.37,28.21,0.0,52.42,9,1,7768,2147,528,1632,0,3461
2012,8,FL,AirTran Airways Corporation,CAK,"Akron, OH: Akron-Canton Regional",365,66,10.17,1.32,16.06,0.0,38.45,1,1,3986,425,41,778,0,2742
2016,3,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3999,785,178.59,55.48,269.03,1.53,280.37,16,38,49303,12757,4787,14195,28,17536
2006,9,NW,Northwest Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",115,37,15.41,1.57,11.32,0.0,8.7,3,3,1855,696,268,303,0,588
2022,10,MQ,Envoy Air,PNS,"Pensacola, FL: Pensacola International",108,19,3.78,0.55,4.89,0.0,9.78,1,0,790,106,26,116,0,542
2006,4,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",411,79,22.69,4.01,20.02,0.0,32.28,2,1,4091,1317,198,951,0,1625
2021,9,OO,SkyWest Airlines Inc.,PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field",88,11,5.0,0.0,1.0,0.0,5.0,0,0,578,153,0,148,0,277
2010,12,YV,Mesa Airlines Inc.,SBA,"Santa Barbara, CA: Santa Barbara Municipal",149,15,6.78,0.79,3.66,0.0,3.77,2,0,968,555,22,143,0,248
2008,4,9E,Pinnacle Airlines Inc.,RST,"Rochester, MN: Rochester International",57,9,3.0,1.0,4.0,0.0,1.0,1,0,431,86,198,98,0,49
2009,6,AS,Alaska Airlines Inc.,GST,"Gustavus, AK: Gustavus Airport",17,3,1.0,0.0,1.0,0.0,1.0,0,0,83,37,0,17,0,29
2007,9,OO,SkyWest Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",750,105,54.0,3.0,0.0,0.0,48.0,6,1,5488,2189,431,0,0,2868
2024,5,AA,American Airlines Network,SYR,"Syracuse, NY: Syracuse Hancock International",151,69,25.56,2.09,6.98,0.0,34.37,2,0,6082,1467,367,228,0,4020
2019,8,PT,Piedmont Airlines,PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",112,23,4.27,1.37,9.51,0.0,7.85,1,0,1313,154,132,514,0,513
2021,3,YX,Republic Airline,SYR,"Syracuse, NY: Syracuse Hancock International",211,14,6.2,0.62,0.43,0.0,6.75,0,0,1641,546,45,38,0,1012
2010,1,9E,Pinnacle Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",57,14,1.83,0.0,9.69,0.0,2.48,3,0,554,181,0,237,0,136
2018,10,AS,Alaska Airlines Network,SCC,"Deadhorse, AK: Deadhorse Airport",85,3,2.0,0.0,0.0,0.0,1.0,0,1,207,185,0,0,0,22
2024,1,DL,Delta Air Lines Network,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",26,2,1.64,0.0,0.36,0.0,0.0,0,0,551,541,0,10,0,0
2022,9,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",884,210,86.39,9.36,63.36,0.48,50.41,37,2,14041,6567,755,2718,11,3990
2023,6,UA,United Air Lines Network,BQN,"Aguadilla, PR: Rafael Hernandez",30,19,12.83,0.0,3.31,0.0,2.86,3,0,1324,876,0,245,0,203
2013,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",24,4,2.11,0.0,0.33,0.0,1.55,1,0,243,99,0,13,0,131
2003,9,CO,Continental Air Lines Inc.,TUS,"Tucson, AZ: Tucson International",30,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2021,5,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",382,57,22.07,4.44,17.93,0.0,12.57,0,0,3305,901,414,538,0,1452
2006,2,CO,Continental Air Lines Inc.,EGE,"Eagle, CO: Eagle County Regional",56,31,6.82,1.0,18.98,0.41,3.8,1,0,1430,454,41,751,28,156
2023,10,MQ,Envoy Air,ELP,"El Paso, TX: El Paso International",180,31,6.05,0.44,10.32,0.45,13.73,1,0,1034,225,15,269,10,515
2003,8,US,US Airways Inc.,ROC,"Rochester, NY: Greater Rochester International",118,28,4.81,3.77,5.99,0.0,13.43,1,0,1472,207,268,274,0,723
2013,8,WN,Southwest Airlines Co.,TUS,"Tucson, AZ: Tucson International",413,151,47.66,0.54,18.67,0.0,84.13,1,0,6952,1727,56,789,0,4380
2020,7,OO,SkyWest Airlines Inc.,BIL,"Billings, MT: Billings Logan International",177,16,12.0,4.0,0.0,0.0,0.0,2,0,712,470,242,0,0,0
2015,8,WN,Southwest Airlines Co.,ONT,"Ontario, CA: Ontario International",899,191,71.35,0.81,9.71,0.0,109.13,4,0,11265,3683,68,462,0,7052
2016,1,UA,United Air Lines Inc.,SMF,"Sacramento, CA: Sacramento International",156,15,7.95,0.05,2.23,0.0,4.77,0,0,786,360,3,81,0,342
2013,10,DL,Delta Air Lines Inc.,MOT,"Minot, ND: Minot International",30,1,0.0,0.4,0.6,0.0,0.0,0,0,15,0,6,9,0,0
2022,5,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",3156,1100,125.42,31.38,723.72,0.0,219.48,352,12,80902,13340,3176,44281,0,20105
2013,6,MQ,American Eagle Airlines Inc.,MEM,"Memphis, TN: Memphis International",137,50,10.41,13.09,10.39,0.0,16.11,4,0,3868,423,1283,655,0,1507
2024,8,OO,SkyWest Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",10,1,1.0,0.0,0.0,0.0,0.0,0,0,31,31,0,0,0,0
2008,9,9E,Pinnacle Airlines Inc.,FNT,"Flint, MI: Bishop International",58,5,4.0,0.0,0.0,0.0,1.0,1,0,184,165,0,0,0,19
2008,3,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",2326,468,81.95,3.63,51.39,0.57,330.46,22,0,18105,3336,111,1499,21,13138
2007,1,MQ,American Eagle Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",278,65,18.43,9.34,9.43,0.0,27.8,31,0,3659,826,780,521,0,1532
2023,9,OH,PSA Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",160,32,11.76,0.0,4.23,0.15,15.85,4,1,2173,618,0,245,6,1304
2020,2,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",4727,912,473.68,62.71,342.9,0.0,32.72,119,4,85421,50478,9004,20696,0,5243
2023,2,OH,PSA Airlines Inc.,LAN,"Lansing, MI: Capital Region International",24,2,0.74,0.0,1.1,0.0,0.17,0,0,57,31,0,19,0,7
2003,11,RU,ExpressJet Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",358,80,23.76,1.43,43.56,0.0,11.26,10,0,3540,1424,172,1298,0,646
2022,4,AS,Alaska Airlines Network,ELP,"El Paso, TX: El Paso International",30,3,0.08,0.0,2.0,0.0,0.92,2,0,221,3,0,183,0,35
2005,10,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",31,10,5.37,0.67,0.6,0.0,3.36,0,0,478,181,101,56,0,140
2023,2,G4,Allegiant Air,FCA,"Kalispell, MT: Glacier Park International",16,4,1.61,1.0,0.89,0.0,0.5,1,0,181,34,122,16,0,9
